date,q_tilde,de,f_star
2000-06-30,-0.004582037436290193,0.005689993956551255,0.004227117208449998
2000-09-30,-0.004400595914593225,-0.0037533790100496237,0.004227117208449998
2000-12-31,-0.00014501652580336,0.009013992188994223,0.004227117208449998
2001-03-31,0.0003845628482812351,0.0011701704361425603,0.004227117208449998
2001-06-30,0.00321316096958738,0.010640888474063774,-0.00021805631427900332
2001-09-30,0.0028344937971148685,-0.019905887835146217,0.004227117208449998
2001-12-31,0.0016057923461106774,-0.014705095913262722,0.019499291805378963
2002-03-31,-0.00012122288068677353,0.0056962220720950685,0.004227117208449998
2002-06-30,-0.000528052958722968,-0.0018764644339644733,0.010434599912629117
2002-09-30,0.0019109465842129234,0.03411096285665899,-0.010159017530239161
2002-12-31,0.0015607069105486237,-4.330487237655563e-05,0.002561100220604657
2003-03-31,0.007224673298377001,-0.02203376451612069,0.017007638452343023
2003-06-30,0.011828976892641058,-0.00048265657438940836,0.02119889016845839
2003-09-30,0.007408560041098535,0.00400243444914493,0.019608593362071935
2003-12-31,0.0035696302215695768,0.0034331689282850702,0.03035290073063488
2004-03-31,-0.004022503897489323,0.0036381227626218634,0.04804537973556525
2004-06-30,-0.0006898157621736244,0.006805943150160868,0.014131415696669147
2004-09-30,0.0066424141440950745,-0.017815267454130767,0.040499374818877346
2004-12-31,0.007399652614345977,-0.02206067975637154,0.05653476019979553
2005-03-31,0.006945168021609106,-0.006803513456245426,0.07070979523713394
2005-06-30,0.007026581351356133,0.003914025060205202,0.05352781070639284
2005-09-30,0.00809643181182759,0.011246191378224382,0.05965885458558373
2005-12-31,0.004232716863771804,0.04271979454625324,-0.03673315767586203
2006-03-31,-0.003232161572719645,-0.009118566829255359,-0.011339118946233746
2006-06-30,-0.01775605828957269,-0.00741175168133495,0.004359945991789325
2006-09-30,-0.017996059861207506,-0.006979876949541288,0.10534767794709853
2006-12-31,-0.017528623189198487,0.00228709373187314,0.09024694827172426
2007-03-31,-0.016201177058967363,-0.0009921479829030112,0.07073646332250345
2007-06-30,-0.021344354236419907,0.0037972488775035317,0.136841495515282
2007-09-30,-0.012791540413374835,0.0027428553422252054,0.06968423408935687
2007-12-31,-0.006537966641807592,-0.040029949879303625,0.13016432143784212
2008-03-31,-0.0057985521759728155,-0.029800294925176118,0.26518588275368443
2008-06-30,6.545206610505667e-06,-0.018299241291712988,0.039837356286379244
2008-09-30,0.012201890163126219,0.03750179283520474,-0.06408170933986579
2008-12-31,0.031446149992695585,0.07024897340145159,-0.17053558565760227
